,audioFileName,text,audioLength
5876,227576_1.wav,இந்தியாவின் சிக்கிம் மாநிலம் நேபாளம் பூட்டான் ஆகியவற்றைப் பிரிக்கிறது.,7.356
5875,227577_1.wav,பொதுவாக இது அடைப்பிதழின் உடற்பகுதியில் ஓரளவு நிலையான முறையில் திருகப்படுகிறது.,8.892000000000003
5874,227578_1.wav,"பூக்கள், வெட்டிவேர், பட்டுத்துணி, மயிலிறகு போன்றவற்றினால் காவடிகள் அழகூட்டப்படுகின்றன.",10.172
5873,227579_1.wav,"எனினும், மருந்து உட்கொள்ளல் வழிகாட்டி எந்த பிளாக் பாக்ஸ் எச்சரிக்கையையும் கொண்டிருக்கவில்லை.",8.508
5872,227580_1.wav,% ஆக்சிசன் ஆகும்.,5.436
2578,227580_2.wav,% ஆக்சிசன் ஆகும்.,4.924
5871,227581_1.wav,"ஆகும், இதை நடுநிலை என்று அழைக்கப்படுகிறது.",5.948
746,227581_2.wav,"ஆகும், இதை நடுநிலை என்று அழைக்கப்படுகிறது.",11.708
5870,227582_1.wav,"இன்று இப்பூங்கா , சதுக்க கிமீ பரப்பளவில் அமைந்துள்ளது.",7.356
5869,227583_1.wav,"தொல்காப்பியம் பல ஆசிரியர்கள் கொண்டது என்போரின் கருத்தோ, கி.",8.892000000000003
2577,227583_2.wav,"தொல்காப்பியம் பல ஆசிரியர்கள் கொண்டது என்போரின் கருத்தோ, கி.",8.124
5868,227584_1.wav,இவர் காலத்தில் தொகுதிகளின் பதிப்புப் பணி முடிவுற்றது.,6.8439999999999985
2576,227584_2.wav,இவர் காலத்தில் தொகுதிகளின் பதிப்புப் பணி முடிவுற்றது.,6.8439999999999985
5867,227585_1.wav,இப்போது நீ என் காதலியை தலைவியை எனக்குத் தராவிட்டால்.,7.8679999999999986
2575,227585_2.wav,இப்போது நீ என் காதலியை தலைவியை எனக்குத் தராவிட்டால்.,7.74
5866,227586_1.wav,சைவர்களுக்கு மட்டுமல்லாமல் வைஷ்ணவர்களுக்கும் இம்மாதம் சிறப்புக்குரியதாகும்.,7.612
3527,227586_2.wav,சைவர்களுக்கு மட்டுமல்லாமல் வைஷ்ணவர்களுக்கும் இம்மாதம் சிறப்புக்குரியதாகும்.,13.308
5865,227587_1.wav,கருணாநிதி உள்ளிட்ட தி.,4.1560000000000015
3526,227587_2.wav,கருணாநிதி உள்ளிட்ட தி.,6.332000000000002
5864,227588_1.wav,ஆர் உள்ளிட்ட முக்கியத் தலைவர்கள் பலரும் கலைஞரின் பக்கமே இருந்தனர்.,7.1
3525,227588_2.wav,ஆர் உள்ளிட்ட முக்கியத் தலைவர்கள் பலரும் கலைஞரின் பக்கமே இருந்தனர்.,9.148
5863,227589_1.wav,இந்த நூல் ஒரே நூலாக தமிழிலும் ஆங்கிலத்திலும் வெளியிடப்பட்டது.,8.252
3524,227589_2.wav,இந்த நூல் ஒரே நூலாக தமிழிலும் ஆங்கிலத்திலும் வெளியிடப்பட்டது.,9.788
5862,227590_1.wav,இதனை உலகளவில் பன்னாட்டு நீச்சல் கூட்டமைப்பு கட்டுப்படுத்தி வருகிறது.,7.484
3523,227590_2.wav,இதனை உலகளவில் பன்னாட்டு நீச்சல் கூட்டமைப்பு கட்டுப்படுத்தி வருகிறது.,10.492
5861,227591_1.wav,"சங்கர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெமினி கணேசன், ராகினி மற்றும் பலரும் நடித்திருந்தனர்.",8.252
5237,227591_2.wav,"சங்கர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெமினி கணேசன், ராகினி மற்றும் பலரும் நடித்திருந்தனர்.",5.948
5860,227592_1.wav,இரண்டு ராஜபுத்திர அரசர்கள் எப்பொழுதும் அக்பருக்கு எதிராக இருந்தனர்.,7.1
5236,227592_2.wav,இரண்டு ராஜபுத்திர அரசர்கள் எப்பொழுதும் அக்பருக்கு எதிராக இருந்தனர்.,5.756
